Date : 2023-01-10 22:19:06
Directory : c:\xampp\htdocs\atrodicelabiedru
Total : 127 files,  12427 codes, 1911 comments, 878 blanks, all 15216 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          3 |      7,918 |          0 |          3 |      7,921 |
| PHP        |        112 |      3,425 |      1,857 |        717 |      5,999 |
| CSS        |          5 |        978 |         30 |        122 |      1,130 |
| Markdown   |          1 |         45 |          0 |         22 |         67 |
| JavaScript |          5 |         32 |         22 |         13 |         67 |
| XML        |          1 |         29 |          2 |          1 |         32 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                               |        127 |     12,427 |      1,911 |        878 |     15,216 |
| . (Files)                                                                                                       |          6 |      8,002 |          2 |         28 |      8,032 |
| app                                                                                                             |         47 |      1,203 |        818 |        303 |      2,324 |
| app (Files)                                                                                                     |          2 |         28 |         16 |         13 |         57 |
| app\Console                                                                                                     |          1 |         15 |         12 |          6 |         33 |
| app\Exceptions                                                                                                  |          1 |         21 |         23 |          7 |         51 |
| app\Http                                                                                                        |         33 |        975 |        703 |        218 |      1,896 |
| app\Http (Files)                                                                                                |          1 |         44 |         21 |          7 |         72 |
| app\Http\Controllers                                                                                            |         16 |        698 |        554 |        137 |      1,389 |
| app\Http\Controllers (Files)                                                                                    |         11 |        375 |        352 |         86 |        813 |
| app\Http\Controllers\Answer                                                                                     |          1 |         27 |          6 |          6 |         39 |
| app\Http\Controllers\Places                                                                                     |          2 |         97 |         93 |         19 |        209 |
| app\Http\Controllers\Posts                                                                                      |          1 |        102 |         51 |         12 |        165 |
| app\Http\Controllers\Users                                                                                      |          1 |         97 |         52 |         14 |        163 |
| app\Http\Middleware                                                                                             |         13 |        168 |         98 |         58 |        324 |
| app\Http\Requests                                                                                               |          3 |         65 |         30 |         16 |        111 |
| app\Http\Requests (Files)                                                                                       |          1 |         22 |         10 |          5 |         37 |
| app\Http\Requests\Places                                                                                        |          1 |         22 |         10 |          5 |         37 |
| app\Http\Requests\Posts                                                                                         |          1 |         21 |         10 |          6 |         37 |
| app\Models                                                                                                      |          5 |         79 |          1 |         29 |        109 |
| app\Providers                                                                                                   |          5 |         85 |         63 |         30 |        178 |
| bootstrap                                                                                                       |          1 |         17 |         30 |          9 |         56 |
| config                                                                                                          |         15 |        533 |        733 |        239 |      1,505 |
| database                                                                                                        |         13 |        246 |        129 |         56 |        431 |
| database\factories                                                                                              |          1 |         23 |         13 |          5 |         41 |
| database\migrations                                                                                             |          9 |        187 |         95 |         38 |        320 |
| database\seeders                                                                                                |          3 |         36 |         21 |         13 |         70 |
| lang                                                                                                            |          4 |        159 |         60 |         24 |        243 |
| lang\en                                                                                                         |          4 |        159 |         60 |         24 |        243 |
| public                                                                                                          |          4 |        991 |         58 |        133 |      1,182 |
| public (Files)                                                                                                  |          1 |         14 |         30 |         12 |         56 |
| public\css                                                                                                      |          3 |        977 |         28 |        121 |      1,126 |
| resources                                                                                                       |         27 |      1,147 |         22 |         42 |      1,211 |
| resources\css                                                                                                   |          1 |          0 |          0 |          1 |          1 |
| resources\js                                                                                                    |          3 |         16 |         22 |         10 |         48 |
| resources\views                                                                                                 |         23 |      1,131 |          0 |         31 |      1,162 |
| resources\views (Files)                                                                                         |          4 |         95 |          0 |          2 |         97 |
| resources\views\Places                                                                                          |          4 |        162 |          0 |          4 |        166 |
| resources\views\Posts                                                                                           |          4 |        316 |          0 |          6 |        322 |
| resources\views\User                                                                                            |          3 |        146 |          0 |          3 |        149 |
| resources\views\Vehicle                                                                                         |          4 |        155 |          0 |          4 |        159 |
| resources\views\auth                                                                                            |          2 |        142 |          0 |          8 |        150 |
| resources\views\navbar                                                                                          |          1 |         65 |          0 |          3 |         68 |
| resources\views\traveling                                                                                       |          1 |         50 |          0 |          1 |         51 |
| routes                                                                                                          |          4 |         82 |         41 |         24 |        147 |
| tests                                                                                                           |          4 |         40 |         16 |         19 |         75 |
| tests (Files)                                                                                                   |          2 |         19 |          5 |         10 |         34 |
| tests\Feature                                                                                                   |          1 |         11 |          6 |          5 |         22 |
| tests\Unit                                                                                                      |          1 |         10 |          5 |          4 |         19 |
| vendor                                                                                                          |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie                                                                                                   |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition                                                                                          |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources                                                                                |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources\compiled                                                                       |          2 |          7 |          2 |          1 |         10 |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                        | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\xampp\htdocs\atrodicelabiedru\README.md                                                                      | Markdown   |         45 |          0 |         22 |         67 |
| c:\xampp\htdocs\atrodicelabiedru\app\Console\Kernel.php                                                         | PHP        |         15 |         12 |          6 |         33 |
| c:\xampp\htdocs\atrodicelabiedru\app\Exceptions\Handler.php                                                     | PHP        |         21 |         23 |          7 |         51 |
| c:\xampp\htdocs\atrodicelabiedru\app\Http\Controllers\AdminController.php                                       | PHP        |         12 |          3 |          4 |         19 |
| c:\xampp\htdocs\atrodicelabiedru\app\Http\Controllers\Answer\AnswerController.php                               | PHP        |         27 |          6 |          6 |         39 |
| c:\xampp\htdocs\atrodicelabiedru\app\Http\Controllers\AuthController.php                                        | PHP        |        100 |          4 |          6 |        110 |
| c:\xampp\htdocs\atrodicelabiedru\app\Http\Controllers\Controller.php                                            | PHP        |         10 |          0 |          4 |         14 |
| c:\xampp\htdocs\atrodicelabiedru\app\Http\Controllers\CreateVehicleController.php                               | PHP        |         28 |         47 |         10 |         85 |
| c:\xampp\htdocs\atrodicelabiedru\app\Http\Controllers\DeleteController.php                                      | PHP        |         31 |         48 |         10 |         89 |
| c:\xampp\htdocs\atrodicelabiedru\app\Http\Controllers\EditController.php                                        | PHP        |         29 |         47 |         10 |         86 |
| c:\xampp\htdocs\atrodicelabiedru\app\Http\Controllers\MainController.php                                        | PHP        |         37 |         48 |         10 |         95 |
| c:\xampp\htdocs\atrodicelabiedru\app\Http\Controllers\Places\PlacesController.php                               | PHP        |         54 |         46 |          9 |        109 |
| c:\xampp\htdocs\atrodicelabiedru\app\Http\Controllers\Places\StorePlacesController.php                          | PHP        |         43 |         47 |         10 |        100 |
| c:\xampp\htdocs\atrodicelabiedru\app\Http\Controllers\Posts\PostsController.php                                 | PHP        |        102 |         51 |         12 |        165 |
| c:\xampp\htdocs\atrodicelabiedru\app\Http\Controllers\ShowController.php                                        | PHP        |         29 |         47 |         10 |         86 |
| c:\xampp\htdocs\atrodicelabiedru\app\Http\Controllers\StoreController.php                                       | PHP        |         41 |         53 |          9 |        103 |
| c:\xampp\htdocs\atrodicelabiedru\app\Http\Controllers\UpdateController.php                                      | PHP        |         46 |         50 |          9 |        105 |
